Moeda;Data da Cotacao;Tipo;Compra;Venda;Data da Coleta;Fonte
USD;01/07/2026;A;5,1944;5,1950;2026-08-15 13:10:00;api
USD;02/07/2026;A;5,1939;5,1945;2026-08-15 13:10:00;api
USD;03/07/2026;A;5,1711;5,1717;2026-08-15 13:10:00;api
USD;06/07/2026;A;5,1664;5,1670;2026-08-15 13:10:00;api
USD;07/07/2026;A;5,1452;5,1458;2026-08-15 13:10:00;api
USD;08/07/2026;A;5,1546;5,1552;2026-08-15 13:10:00;api
USD;09/07/2026;A;5,1323;5,1329;2026-08-15 13:10:00;api
USD;10/07/2026;A;5,1082;5,1088;2026-08-15 13:10:00;api
USD;13/07/2026;A;5,1177;5,1183;2026-08-15 13:10:00;api
USD;14/07/2026;A;5,0736;5,0742;2026-08-15 13:10:00;api
USD;15/07/2026;A;5,0721;5,0727;2026-08-15 13:10:00;api
USD;16/07/2026;A;5,0969;5,0975;2026-08-15 13:10:00;api
USD;17/07/2026;A;5,1170;5,1176;2026-08-15 13:10:00;api
USD;20/07/2026;A;5,0888;5,0894;2026-08-15 13:10:00;api
USD;21/07/2026;A;5,0774;5,0780;2026-08-15 13:10:00;api
USD;22/07/2026;A;5,0632;5,0638;2026-08-15 13:10:00;api
USD;23/07/2026;A;5,0801;5,0807;2026-08-15 13:10:00;api
USD;24/07/2026;A;5,0660;5,0666;2026-08-15 13:10:00;api
USD;27/07/2026;A;5,0998;5,1005;2026-08-15 13:10:00;api
USD;28/07/2026;A;5,1171;5,1177;2026-08-15 13:10:00;api
USD;29/07/2026;A;5,1211;5,1217;2026-08-15 13:10:00;api
USD;30/07/2026;A;5,0733;5,0739;2026-08-15 13:10:00;api
USD;31/07/2026;A;5,0767;5,0773;2026-08-15 13:10:00;api
EUR;01/07/2026;A;5,9133;5,9145;2026-08-15 13:10:00;api
EUR;02/07/2026;A;5,9455;5,9472;2026-08-15 13:10:00;api
EUR;03/07/2026;A;5,9137;5,9154;2026-08-15 13:10:00;api
EUR;06/07/2026;A;5,9026;5,9043;2026-08-15 13:10:00;api
EUR;07/07/2026;A;5,8774;5,8786;2026-08-15 13:10:00;api
EUR;08/07/2026;A;5,8732;5,8749;2026-08-15 13:10:00;api
EUR;09/07/2026;A;5,8708;5,8720;2026-08-15 13:10:00;api
EUR;10/07/2026;A;5,8422;5,8434;2026-08-15 13:10:00;api
EUR;13/07/2026;A;5,8347;5,8364;2026-08-15 13:10:00;api
EUR;14/07/2026;A;5,7976;5,7988;2026-08-15 13:10:00;api
EUR;15/07/2026;A;5,7999;5,8011;2026-08-15 13:10:00;api
EUR;16/07/2026;A;5,8339;5,8356;2026-08-15 13:10:00;api
EUR;17/07/2026;A;5,8533;5,8550;2026-08-15 13:10:00;api
EUR;20/07/2026;A;5,8068;5,8080;2026-08-15 13:10:00;api
EUR;21/07/2026;A;5,7918;5,7930;2026-08-15 13:10:00;api
EUR;22/07/2026;A;5,7786;5,7803;2026-08-15 13:10:00;api
EUR;23/07/2026;A;5,7771;5,7788;2026-08-15 13:10:00;api
EUR;24/07/2026;A;5,7666;5,7683;2026-08-15 13:10:00;api
EUR;27/07/2026;A;5,8005;5,8023;2026-08-15 13:10:00;api
EUR;28/07/2026;A;5,8335;5,8347;2026-08-15 13:10:00;api
EUR;29/07/2026;A;5,8293;5,8305;2026-08-15 13:10:00;api
EUR;30/07/2026;A;5,8455;5,8467;2026-08-15 13:10:00;api
EUR;31/07/2026;A;5,8473;5,8490;2026-08-15 13:10:00;api
GBP;01/07/2026;A;6,8961;6,8990;2026-08-15 13:10:00;api
GBP;02/07/2026;A;6,9396;6,9419;2026-08-15 13:10:00;api
GBP;03/07/2026;A;6,9050;6,9084;2026-08-15 13:10:00;api
GBP;06/07/2026;A;6,9054;6,9078;2026-08-15 13:10:00;api
GBP;07/07/2026;A;6,8796;6,8815;2026-08-15 13:10:00;api
GBP;08/07/2026;A;6,8860;6,8884;2026-08-15 13:10:00;api
GBP;09/07/2026;A;6,8804;6,8827;2026-08-15 13:10:00;api
GBP;10/07/2026;A;6,8547;6,8565;2026-08-15 13:10:00;api
GBP;13/07/2026;A;6,8470;6,8493;2026-08-15 13:10:00;api
GBP;14/07/2026;A;6,7895;6,7908;2026-08-15 13:10:00;api
GBP;15/07/2026;A;6,8448;6,8471;2026-08-15 13:10:00;api
GBP;16/07/2026;A;6,8716;6,8740;2026-08-15 13:10:00;api
GBP;17/07/2026;A;6,8793;6,8816;2026-08-15 13:10:00;api
GBP;20/07/2026;A;6,8266;6,8295;2026-08-15 13:10:00;api
GBP;21/07/2026;A;6,7890;6,7918;2026-08-15 13:10:00;api
GBP;22/07/2026;A;6,7715;6,7738;2026-08-15 13:10:00;api
GBP;23/07/2026;A;6,7611;6,7639;2026-08-15 13:10:00;api
GBP;24/07/2026;A;6,7570;6,7619;2026-08-15 13:10:00;api
GBP;27/07/2026;A;6,7822;6,7867;2026-08-15 13:10:00;api
GBP;28/07/2026;A;6,8088;6,8132;2026-08-15 13:10:00;api
GBP;29/07/2026;A;6,8044;6,8057;2026-08-15 13:10:00;api
GBP;30/07/2026;A;6,8287;6,8300;2026-08-15 13:10:00;api
GBP;31/07/2026;A;6,8363;6,8391;2026-08-15 13:10:00;api
